subject,predicate,object
Health and safety,BT,Safety
Health and safety,RT,Environmental factors
Health and safety,NT,Occupational health
Health and safety,NT,Occupational safety
Health and safety,NT,Personal protective equipment
Health care,USE,Medical services
Health informatics,USE,Bioinformatics
Health information management,BT,Medical services
Health physics,USE,Radiation monitoring
Healthcare,USE,Medical services
Hearing,USE,Auditory system
Hearing aids,BT,Sensory aids
Hearing aids,RT,Auditory system
Hearing aids,RT,Speech enhancement
Heart,BT,Cardiovascular system
Heart,RT,Cardiology
Heart,NT,Cardiac function
Heart,NT,Fetal heart
Heart,NT,Heart rate
Heart,NT,Heart valves
Heart,NT,Heart ventricles
Heart arrest,USE,Cardiac arrest
Heart attack,USE,Cardiac arrest
Heart beat,UF,Heartbeat
Heart beat,BT,Heart rate
Heart rate,UF,HR
Heart rate,BT,Heart
Heart rate,NT,Fetal heart rate
Heart rate,NT,Heart beat
Heart rate,NT,Heart rate detection
Heart rate,NT,Heart rate interval
Heart rate,NT,Heart rate measurement
Heart rate,NT,Heart rate variability
Heart rate detection,BT,Heart rate
Heart rate interval,BT,Heart rate
Heart rate measurement,BT,Heart rate
Heart rate measurement,RT,Phonocardiography
Heart rate variability,UF,HRV
Heart rate variability,BT,Heart rate
Heart valves,UF,Aortic semilunar valves
Heart valves,UF,Atrioventricular valves
Heart valves,UF,Bicuspid valves
Heart valves,UF,Mitral valves
Heart valves,UF,Pulmonary semilunar valves
Heart valves,UF,Semilunar valves
Heart valves,UF,Tricuspid valves
Heart valves,BT,Heart
Heart ventricles,BT,Heart
Heartbeat,USE,Heart beat
Heat engines,BT,Engines
Heat engines,NT,Steam engines
Heat engines,NT,Stirling engines
Heat islands,USE,Thermal pollution
Heat pipes,BT,Heating systems
Heat pipes,RT,Cooling
Heat pipes,RT,Heat transfer
Heat pumps,UF,Ground source heat pumps
Heat pumps,BT,Pumps
Heat pumps,RT,Refrigerants
Heat recovery,UF,Industrial heat recovery
Heat recovery,BT,Heating systems
Heat recovery,RT,Boilers
Heat recovery,RT,Thermal engineering
Heat sinks,UF,Heatsinks
Heat sinks,BT,Cooling
Heat transfer,BT,Thermal conductivity
Heat transfer,RT,Heat pipes
Heat transfer,NT,Convection
Heat treatment,BT,Materials processing
Heat treatment,RT,Curing
Heat treatment,RT,Firing
Heat treatment,RT,Foundries
Heat treatment,RT,Kilns
Heat treatment,RT,Smelting
Heat treatment,RT,Thermal factors
Heat treatment,NT,Annealing
Heat treatment,NT,Calcination
Heat-assisted magnetic recording,UF,HAMR
Heat-assisted magnetic recording,BT,Magnetic recording
Heating systems,BT,Temperature control
Heating systems,RT,Entropy
Heating systems,RT,Furnaces
Heating systems,RT,HVAC
Heating systems,RT,High-temperature techniques
Heating systems,RT,Laser applications
Heating systems,RT,Rapid thermal processing
Heating systems,RT,Thermal engineering
Heating systems,NT,Boilers
Heating systems,NT,Cogeneration
Heating systems,NT,Electromagnetic heating
Heating systems,NT,Heat pipes
Heating systems,NT,Heat recovery
Heating systems,NT,Induction heating
Heating systems,NT,Infrared heating
Heating systems,NT,Resistance heating
Heating systems,NT,Solar heating
Heating systems,NT,Space heating
Heating systems,NT,Thermal energy
Heating systems,NT,Trigeneration
Heating systems,NT,Water heating
"Heating, ventilation, and air conditioning",USE,HVAC
Heatsinks,USE,Heat sinks
Hebb's methods,USE,Hebbian theory
Hebb's rule,USE,Hebbian theory
Hebbian learning,USE,Hebbian theory
Hebbian principle,USE,Hebbian theory
Hebbian theory,UF,Hebb's methods
Hebbian theory,UF,Hebb's rule
Hebbian theory,UF,Hebbian learning
Hebbian theory,UF,Hebbian principle
Hebbian theory,BT,Artificial neural networks
Helical antennas,BT,Antennas
Helical antennas,RT,Electromagnetic waveguides
Helical antennas,RT,Telecommunications
Helical antennas,RT,Transmission lines
Helical antennas,RT,VHF circuits
Helical antennas,RT,Waveguide components
Helical gears,USE,Gears
Helicopters,BT,Aircraft
Helicopters,RT,Military systems
Helium,BT,Chemical elements
Helium,BT,Gases
Helmet mounted displays,USE,Head-mounted displays
Hemodynamics,UF,Hemorheology
Hemodynamics,BT,Blood flow
Hemorheology,USE,Hemodynamics
Hemorrhaging,UF,Bleeding
Hemorrhaging,UF,Haemorrhaging
Hemorrhaging,BT,Medical conditions
Hemorrhaging,RT,Blood flow
HEMTs,UF,High electron mobility transistors
HEMTs,UF,High electron-mobility transistors
HEMTs,UF,High-electron mobility transistors
HEMTs,UF,High-electron-mobility transistors
HEMTs,BT,Field effect transistors
HEMTs,RT,MODFETs
HEMTs,NT,D-HEMTs
HEMTs,NT,DH-HEMTs
HEMTs,NT,PHEMTs
HEMTs,NT,mHEMTs
Hepatectomy,BT,Medical treatment
Hepatectomy,BT,Surgery
Hermetic seals,BT,Seals
Hetero-nanocrystal memory,BT,Single electron memory
Heterogeneous networks,BT,Computer networks
Heterojunction bipolar transistors,UF,HBT
Heterojunction bipolar transistors,BT,Transistors
Heterojunction bipolar transistors,RT,Heterojunctions
Heterojunction bipolar transistors,RT,Integrated optoelectronics
Heterojunction bipolar transistors,RT,Semiconductor devices
Heterojunction bipolar transistors,NT,Double heterojunction bipolar transistors
Heterojunctions,BT,Junctions
Heterojunctions,RT,Heterojunction bipolar transistors
Heuristic algorithms,UF,Dynamic algorithms
Heuristic algorithms,BT,Algorithms
Heuristic algorithms,RT,Metaheuristics
HEV,USE,Hybrid electric vehicles
HEVC,USE,High efficiency video coding
Hf,USE,Hafnium
HF radar,USE,High frequency radar
HFC,USE,Hybrid fiber coaxial cables
Hg,USE,Mercury (metals)
Hidden Markov models,BT,Modeling
Hidden Markov models,RT,Markov processes
Hidden Markov models,RT,Pattern recognition
Hierarchical learning,USE,Deep learning
Hierarchical systems,BT,Systems engineering and theory
Hierarchical systems,NT,Multilevel systems
High definition television,USE,HDTV
High definition video,UF,HD
High definition video,UF,HD video
High definition video,BT,Video recording
High definition video,NT,Ultra-high definition video
High efficiency video coding,UF,HEVC
High efficiency video coding,UF,High-efficiency video coding
High efficiency video coding,BT,Video coding
High efficiency video coding,RT,MPEG 4 Standard
High electron mobility transistors,USE,HEMTs
High electron-mobility transistors,USE,HEMTs
High energy physics,UF,Particle physics
High energy physics,BT,Physics
High energy physics instrumentation computing,BT,Computer applications
High energy physics instrumentation computing,BT,Instrumentation and measurement
High energy physics instrumentation computing,BT,Nuclear and plasma sciences
High energy physics instrumentation computing,RT,Data acquisition
High energy physics instrumentation computing,RT,Elementary particles
High energy physics instrumentation computing,RT,Nuclear electronics
High energy physics instrumentation computing,RT,Particle measurements
High energy physics instrumentation computing,RT,Particle tracking
High energy physics instrumentation computing,RT,Position sensitive particle detectors
High energy physics instrumentation computing,RT,Proton effects
High energy physics instrumentation computing,RT,Radiation effects
High energy physics instrumentation computing,RT,Real-time systems
High energy physics instrumentation computing,RT,Synchrotrons
High energy physics instrumentation computing,NT,Linear particle accelerator
High frequency,BT,Radio frequency
High frequency radar,UF,HF radar
High frequency radar,BT,Radar
High frequency transformers,USE,High-frequency transformers
High intensity discharge lamps,BT,Discharge lamps
High intensity discharge lamps,RT,Arc discharges
High intensity discharge lamps,RT,Electrical ballasts
High intensity discharge lamps,RT,Emergency lighting
High intensity discharge lamps,RT,Light sources
High intensity discharge lamps,RT,Lighting
High intensity discharge lamps,RT,Lighting control
High K,USE,High-k dielectric materials
High level languages,BT,Computer languages
High level languages,RT,Page description languages
High level languages,NT,Java
High level languages,NT,Linux
High level languages,NT,Parallel languages
High level synthesis,BT,Circuit synthesis
High level synthesis,RT,Programmable logic devices
High performance computing,UF,HPC
High performance computing,UF,High-performance computing
High performance computing,BT,Computers and information processing
High performance computing,NT,Exascale computing
High power amplifiers,BT,Power amplifiers
High power amplifiers,RT,Gate drivers
High power fiber lasers,UF,HPFL
High power fiber lasers,UF,High-power fiber lasers
High power fiber lasers,BT,Fiber lasers
High power microwave generation,UF,HPM generation
High power microwave generation,UF,High-power microwave generation
High power microwave generation,BT,Microwave generation
High resolution imaging,USE,High-resolution imaging
High school engineering,USE,Pre-college engineering
High speed electronics,USE,High-speed electronics
High speed integrated circuits,USE,High-speed integrated circuits
High speed networking,USE,High-speed networks
High speed networks,USE,High-speed networks
High speed optical methods,USE,High-speed optical techniques
High speed optical techniques,USE,High-speed optical techniques
High speed rail transportation,USE,High-speed rail transportation
High speed techniques,USE,High-speed electronics
High Tc superconductors,USE,High-temperature superconductors
High temperature superconductors,USE,High-temperature superconductors
High voltage,USE,High-voltage techniques
High-definition TV,USE,HDTV
High-efficiency video coding,USE,High efficiency video coding
High-electron mobility transistors,USE,HEMTs
High-electron-mobility transistors,USE,HEMTs
High-frequency transformers,UF,High frequency transformers
High-frequency transformers,BT,Transformers
High-K,USE,High-k dielectric materials
High-k dielectric materials,UF,High K
High-k dielectric materials,UF,High-K
High-k dielectric materials,BT,Dielectric materials
High-k dielectric materials,RT,Semiconductor materials
High-k gate dielectrics,BT,Dielectric constant
High-k gate dielectrics,BT,Semiconductor device manufacture
High-performance computing,USE,High performance computing
High-power fiber lasers,USE,High power fiber lasers
High-power microwave generation,USE,High power microwave generation
High-resolution imaging,UF,High resolution imaging
High-resolution imaging,BT,Image resolution
High-speed electronics,UF,High speed electronics
High-speed electronics,UF,High speed techniques
High-speed electronics,UF,High-speed techniques
High-speed electronics,BT,Communications technology
High-speed electronics,NT,High-speed integrated circuits
High-speed electronics,NT,High-speed networks
High-speed electronics,NT,Ultrafast electronics
High-speed integrated circuits,UF,High speed integrated circuits
High-speed integrated circuits,BT,High-speed electronics
High-speed integrated circuits,RT,Integrated circuit technology
High-speed integrated circuits,RT,Microcontrollers
High-speed networking,USE,High-speed networks
High-speed networks,UF,High speed networking
High-speed networks,UF,High speed networks
High-speed networks,UF,High-speed networking
High-speed networks,BT,High-speed electronics
High-speed networks,RT,Long Term Evolution
High-speed optical methods,USE,High-speed optical techniques
High-speed optical techniques,UF,High speed optical methods
High-speed optical techniques,UF,High speed optical techniques
High-speed optical techniques,UF,High-speed optical methods
High-speed optical techniques,BT,Optical design techniques
High-speed optical techniques,RT,Light fidelity
High-speed rail transportation,UF,High speed rail transportation
High-speed rail transportation,BT,Rail transportation
High-speed rail transportation,RT,Magnetic levitation vehicles
High-speed techniques,USE,High-speed electronics
High-Tc superconductors,USE,High-temperature superconductors
High-temperature effects,USE,Thermal factors
High-temperature superconductors,UF,HTS
High-temperature superconductors,UF,High Tc superconductors
High-temperature superconductors,UF,High temperature superconductors
High-temperature superconductors,UF,High-Tc superconductors
High-temperature superconductors,UF,Superconductors (high temperature)
High-temperature superconductors,BT,Superconducting materials
High-temperature superconductors,RT,Ceramics
High-temperature superconductors,RT,Granular superconductors
High-temperature superconductors,RT,Persistent currents
High-temperature superconductors,RT,Superconducting devices
High-temperature superconductors,RT,Superconducting films
High-temperature superconductors,RT,Superconducting transition temperature
High-temperature superconductors,RT,Surface impedance
High-temperature superconductors,RT,Surface resistance
High-temperature superconductors,NT,Yttrium barium copper oxide
High-temperature techniques,BT,Industry applications
High-temperature techniques,RT,Heating systems
High-temperature techniques,NT,Rapid thermal processing
High-voltage techniques,UF,High voltage
High-voltage techniques,BT,Power engineering
High-voltage techniques,RT,Power electronics
High-voltage techniques,RT,Pulsed power systems
Higher order statistics,BT,Statistics
Higher order statistics,RT,Differential equations
Highways,USE,Road transportation
HIL simulation,USE,Hardware-in-the-loop simulation
Hilbert space,BT,Euclidean distance
Hilbert?Huang transforms,USE,Empirical mode decomposition
Hindbrain,UF,Rhombencephalon
Hindbrain,BT,Brain
Hindbrain,RT,Forebrain
Hindbrain,RT,Midbrain
Hinges,USE,Fasteners
Hip,BT,Extremities
Hip joint replacements,USE,Prosthetics
Hippocampus,BT,Temporal lobe
Hippocampus,RT,Alzheimer's disease
Histograms,BT,Statistics
Histology,USE,Histopathology
Histopathology,UF,Histology
Histopathology,BT,Pathology
History,BT,Humanities
HITL,USE,Human in the loop
HIV,USE,Human immunodeficiency virus
Hockey,USE,Sports
Hoists,USE,Lifting equipment
Hole carriers,USE,Charge carrier processes
Holey fibers,UF,Holey fibres
Holey fibers,BT,Photonic crystal fibers
Holey fibres,USE,Holey fibers
Hollow waveguides,BT,Electromagnetic waveguides
Hollow waveguides,NT,Liquid waveguides
Holmium,BT,Chemical elements
Holographic optical components,BT,Optical devices
Holographic optical components,RT,Holography
Holography,BT,Imaging
Holography,RT,Holographic optical components
Holography,RT,Image reconstruction
Holography,RT,Laser applications
Holography,RT,Photorefractive materials
Home appliances,UF,Appliances
Home appliances,UF,Domestic appliances
Home appliances,UF,Domestic induction appliances
Home appliances,UF,Household appliances
Home appliances,BT,Consumer products
Home appliances,NT,Gas appliances
Home appliances,NT,Microwave ovens
Home appliances,NT,Ovens
Home appliances,NT,Refrigerators
Home appliances,NT,Washing machines
Home automation,UF,Home networks
Home automation,BT,Consumer electronics
Home automation,RT,Automation
Home automation,RT,Fall detection
Home automation,RT,Service robots
Home automation,NT,Portable media players
Home automation,NT,Refrigerators
Home automation,NT,Smart homes
Home automation,NT,Washing machines
Home computing,BT,Consumer electronics
Home computing,RT,Computers and information processing
Home computing,RT,Firewire
Home computing,RT,Microcomputers
Home networks,USE,Home automation
Home phone,USE,Landline
Home shopping,USE,Electronic commerce
Homeostasis,BT,Biology
Homeostasis,BT,Control systems
Homomorphic encryption,UF,Privacy perserving computation
Homomorphic encryption,UF,Privacy-perserving computation
Homomorphic encryption,BT,Encryption
Homomorphic encryption,RT,Privacy
Homomorphic encryption,RT,Public key cryptography
Homopolar machines,BT,DC machines
Honey pot (computing),BT,Computer security
Honeycomb structures,BT,Structural shapes
Honeycomb structures,RT,Lightweight structures
Honeycomb structures,RT,Sandwich structures
Honeycomb structures,RT,Structural panels
Honeycomb structures,RT,Thin wall structures
Hopfield networks,USE,Hopfield neural networks
Hopfield neural networks,UF,Hopfield networks
Hopfield neural networks,BT,Recurrent neural networks
Hormones,USE,Biochemistry
Horn antennas,BT,Antennas
Horses,BT,Animals
Hoses,BT,Mechanical products
Hoses,RT,Automotive components
Hoses,RT,Rubber products
Hospitals,BT,Medical services
Hospitals,BT,Medical treatment
Hospitals,RT,Biomedical engineering
Hot carrier effects,BT,Hot carriers
Hot carrier injection,UF,Hot-carrier injection
Hot carrier injection,BT,Hot carriers
Hot carrier injection,NT,Channel hot electron injection
Hot carrier injection,NT,Secondary generated hot electron injection
Hot carrier injection,NT,Substrate hot electron injection
Hot carriers,BT,Charge carriers
Hot carriers,RT,Semiconductor devices
Hot carriers,NT,Hot carrier effects
Hot carriers,NT,Hot carrier injection
Hot-carrier injection,USE,Hot carrier injection
Household appliances,USE,Home appliances
HPC,USE,High performance computing
HPFL,USE,High power fiber lasers
HPM generation,USE,High power microwave generation
HR,USE,Heart rate
HRV,USE,Heart rate variability
HTML,BT,Markup languages
HTS,USE,High-temperature superconductors
Huffman coding,BT,Data compression
Huffman coding,BT,Entropy coding
Huffman coding,RT,Algorithms
Huffman coding,RT,Communication systems
Huffman coding,RT,Multimedia communication
Huffman coding,RT,Multimedia databases
Huffman coding,RT,Multimedia systems
Huffman coding,RT,Symbols
Human anatomy,BT,Anatomy
Human augmentation,UF,Human enhancement
Human augmentation,BT,Augmented reality
Human augmentation,BT,Human factors
Human cloning,USE,Cloning
Human computer interaction,UF,HCI
Human computer interaction,UF,Human machine interaction
Human computer interaction,UF,Human-centered computing
Human computer interaction,UF,Human-computer interaction
Human computer interaction,UF,Human-computer interfaces
Human computer interaction,UF,Human-machine interaction
Human computer interaction,UF,User friendliness
Human computer interaction,BT,User interfaces
Human computer interaction,RT,Adaptive learning
Human computer interaction,RT,Cyber-physical systems
Human computer interaction,RT,Human factors
Human computer interaction,RT,Human-vehicle systems
Human computer interaction,RT,Immersive audio
Human computer interaction,RT,Man-machine systems
Human computer interaction,RT,User experience
Human computer interaction,NT,Affective computing
Human computer interaction,NT,Chatbots
Human computer interaction,NT,Extended reality
Human computer interaction,NT,Gaze tracking
Human computer interaction,NT,Head-mounted displays
Human computer interaction,NT,Head-up displays
Human computer interaction,NT,Human in the loop
Human computer interaction,NT,Immersive experience
Human computer interaction,NT,Telepresence
Human computer interaction,NT,Telexistence
Human disease markers,USE,Biomarkers
Human engineering,USE,Ergonomics
Human enhancement,USE,Human augmentation
Human factors,UF,Stress (psychological)
Human factors,BT,"Systems, man, and cybernetics"
Human factors,RT,Aerospace biophysics
Human factors,RT,Affective computing
Human factors,RT,Androids
Human factors,RT,Anthropometry
Human factors,RT,Behavioral sciences
Human factors,RT,Chatbots
Human factors,RT,Cognitive science
Human factors,RT,Digital intelligence
Human factors,RT,Ergonomics
Human factors,RT,Human computer interaction
Human factors,RT,Man-machine systems
Human factors,RT,Persuasive systems
Human factors,RT,Problem-solving
Human factors,RT,Productivity
Human factors,RT,Social engineering (security)
Human factors,RT,Telerobotics
Human factors,RT,User experience
Human factors,NT,Anthropomorphism
Human factors,NT,Human augmentation
Human factors,NT,Human image synthesis
Human factors,NT,Human intelligence
Human factors,NT,Mental health
Human factors,NT,Technology acceptance model
Human image synthesis,BT,Human factors
Human image synthesis,BT,Image synthesis
Human image synthesis,RT,Films
Human image synthesis,RT,Photorealism
Human immunodeficiency virus,UF,HIV
Human immunodeficiency virus,BT,Diseases
Human immunodeficiency virus,RT,Acquired immune deficiency syndrome
Human in the loop,UF,HITL
Human in the loop,UF,Human-in-the-loop
Human in the loop,BT,Human computer interaction
Human in the loop,BT,Simulation
Human in the loop,RT,Computer simulation
Human in the loop,RT,Modeling
Human intelligence,BT,Cognitive science
Human intelligence,BT,Human factors
Human intelligence,NT,Digital intelligence
Human intelligence,NT,Hyper-intelligence
Human machine interaction,USE,Human computer interaction
Human machine interface,USE,Man-machine systems
Human machine systems,USE,Man-machine systems
Human resource management,BT,Management
Human resource management,RT,Industrial psychology
Human resource management,NT,Appraisal
Human resource management,NT,Continuing professional development
Human resource management,NT,Employee welfare
Human resource management,NT,Employment
Human resource management,NT,Equal opportunities
Human resource management,NT,Incentive schemes
Human resource management,NT,Job specification
Human resource management,NT,Labor resources
Human resource management,NT,Leadership
Human resource management,NT,Multiskilling
Human resource management,NT,Personnel
Human resource management,NT,Recruitment
Human resource management,NT,Remuneration
Human resource management,NT,Retirement
Human resource management,NT,Termination of employment
Human resource management,NT,Unemployment
Human robot interaction,USE,Human-robot interaction
Human voice,BT,Speech processing
Human-centered computing,USE,Human computer interaction
Human-computer interaction,USE,Human computer interaction
Human-computer interfaces,USE,Human computer interaction
Human-in-the-loop,USE,Human in the loop
Human-machine interaction,USE,Human computer interaction
Human-robot interaction,UF,Human robot interaction
Human-robot interaction,BT,User interfaces
Human-robot interaction,RT,Admittance control
Human-robot interaction,RT,Tactile Internet
Human-robot interaction,RT,Wearable robots
Human-robot interaction,NT,Social robots
Human-vehicle interaction,USE,Human-vehicle systems
Human-vehicle systems,UF,Human-vehicle interaction
Human-vehicle systems,BT,User interfaces
Human-vehicle systems,RT,Human computer interaction
Humanitarian activities,UF,Humanitarian aid
Humanitarian activities,BT,IEEE Corporate activities
Humanitarian aid,USE,Humanitarian activities
Humanities,UF,Dance
Humanities,UF,Drama
Humanities,UF,Humanities data processing
Humanities,BT,Education
Humanities,RT,Computer applications
Humanities,RT,Journalism
Humanities,RT,Museums
Humanities,RT,Philosophical considerations
Humanities,NT,Archeology
Humanities,NT,Art
Humanities,NT,History
Humanities,NT,Music
Humanities,NT,Natural languages
Humanities,NT,Social sciences
Humanities data processing,USE,Humanities
Humanoid robotics,USE,Humanoid robots
Humanoid robots,UF,Humanoid robotics
Humanoid robots,UF,Humanoids
Humanoid robots,BT,Robots
Humanoid robots,RT,Mobile robots
Humanoid robots,RT,Social robots
Humanoids,USE,Humanoid robots
HumanXR,USE,Extended reality
Humidity,BT,Meteorology
Humidity,RT,Humidity control
Humidity,RT,Humidity measurement
Humidity,RT,Trees - insulation
Humidity,NT,Humidity effects
Humidity control,BT,Moisture control
Humidity control,RT,Humidity
Humidity control,RT,Humidity effects
Humidity effects,BT,Humidity
Humidity effects,RT,Humidity control
Humidity effects,RT,Moisture control
Humidity measurement,BT,Moisture measurement
Humidity measurement,RT,Humidity
Hurricanes,BT,Cyclones
HVAC,UF,"Heating, ventilation, and air conditioning"
HVAC,BT,Thermal variables control
HVAC,RT,Air conditioning
HVAC,RT,Cooling
HVAC,RT,Heating systems
HVAC,RT,Ventilation
HVDC transmission,BT,Power transmission
HVDC transmission,RT,DC distribution systems
HVDC transmission,RT,Voltage-source converters
Hybrid automobiles,USE,Hybrid electric vehicles
Hybrid cars,USE,Hybrid electric vehicles
Hybrid electric vehicles,UF,HEV
Hybrid electric vehicles,UF,Hybrid automobiles
Hybrid electric vehicles,UF,Hybrid cars
Hybrid electric vehicles,BT,Electric vehicles
Hybrid electric vehicles,RT,Battery powered vehicles
Hybrid electric vehicles,RT,Charging stations
Hybrid electric vehicles,RT,Energy storage
Hybrid electric vehicles,RT,Internal combustion engines
Hybrid electric vehicles,RT,Traction motors
Hybrid electric vehicles,RT,Vehicle-to-grid
Hybrid electric vehicles,NT,Plug-in hybrid electric vehicles
Hybrid fiber coaxial cables,UF,HFC
Hybrid fiber coaxial cables,UF,Hybrid fibre coaxial cables
Hybrid fiber coaxial cables,BT,Coaxial cables
Hybrid fibre coaxial cables,USE,Hybrid fiber coaxial cables
Hybrid integrated circuits,BT,Circuits
Hybrid integrated circuits,BT,Integrated circuits
Hybrid integrated circuits,RT,Thick film circuits
Hybrid integrated circuits,RT,Thin film circuits
Hybrid intelligent systems,BT,Fuzzy systems
Hybrid intelligent systems,RT,Intelligent systems
Hybrid junctions,BT,Junctions
Hybrid junctions,RT,Directional couplers
Hybrid learning,UF,Blended learning
Hybrid learning,BT,Computer aided instruction
Hybrid learning,BT,Learning systems
Hybrid learning,RT,Courseware
Hybrid learning,RT,Distance learning
Hybrid learning,RT,Education
Hybrid learning,RT,Educational courses
Hybrid learning,RT,Educational institutions
Hybrid learning,RT,Internet
Hybrid learning,RT,Mobile learning
Hybrid power systems,BT,Power systems
Hybrid power systems,RT,Distributed power generation
Hybrid power systems,RT,Photovoltaic systems
Hydraulic actuators,BT,Actuators
Hydraulic actuators,RT,Hydraulic drives
Hydraulic diameter,BT,Fluid flow
Hydraulic diameter,NT,Microchannels
Hydraulic drives,BT,Drives
Hydraulic drives,RT,Hydraulic actuators
Hydraulic equipment,BT,Hydraulic systems
Hydraulic equipment,RT,Water pumps
Hydraulic equipment,NT,Valves
Hydraulic fluids,UF,Hydraulic liquids
Hydraulic fluids,UF,Hydraulic oils
Hydraulic fluids,BT,Fluids
Hydraulic fluids,BT,Hydraulic systems
Hydraulic fluids,RT,Production materials
Hydraulic fracking,USE,Fracking
Hydraulic liquids,USE,Hydraulic fluids
Hydraulic oils,USE,Hydraulic fluids
Hydraulic systems,UF,Hydraulics
Hydraulic systems,BT,Machinery
Hydraulic systems,RT,Fluid flow
Hydraulic systems,RT,Irrigation
Hydraulic systems,NT,Electrohydraulics
Hydraulic systems,NT,Hydraulic equipment
Hydraulic systems,NT,Hydraulic fluids
Hydraulic turbines,BT,Turbines
Hydraulic turbines,RT,Hydroelectric power generation
Hydraulics,USE,Hydraulic systems
Hydrocarbon reservoirs,BT,Hydrocarbons
Hydrocarbons,UF,Oil sands
Hydrocarbons,UF,Oil shale
Hydrocarbons,BT,Organic chemicals
Hydrocarbons,BT,Petroleum
Hydrocarbons,NT,Hydrocarbon reservoirs
Hydrochemistry,USE,Geochemistry
Hydrodynamics,BT,Dynamics
Hydrodynamics,BT,Mechanical factors
Hydrodynamics,RT,Fluid dynamics
Hydrodynamics,RT,Fluid flow
Hydrodynamics,RT,Microfluidics
Hydrodynamics,RT,Water
Hydrodynamics,NT,Electrohydrodynamics
Hydrodynamics,NT,Magnetohydrodynamics
Hydroelectric power,USE,Hydroelectric power generation
Hydroelectric power generation,UF,Hydroelectric power
Hydroelectric power generation,UF,Hydroelectricity
Hydroelectric power generation,UF,Hydropower
Hydroelectric power generation,UF,Hyrdroelectric
Hydroelectric power generation,BT,Power generation
Hydroelectric power generation,RT,Dams
Hydroelectric power generation,RT,Hydraulic turbines
Hydroelectric power generation,NT,Hydroelectric-thermal power generation
Hydroelectric power generation,NT,Microhydro power
Hydroelectric power generation,NT,Picohydro power
Hydroelectric power generation,NT,Wave energy conversion
Hydroelectric-thermal power generation,BT,Hydroelectric power generation
Hydroelectricity,USE,Hydroelectric power generation
Hydrogen,BT,Chemical elements
Hydrogen,BT,Gases
Hydrogen,RT,Water splitting
Hydrogen,NT,Deuterium
Hydrogen chloride,USE,Chlorine compounds
Hydrogen fluoride,BT,Fluorine compounds
Hydrogen powered vehicles,BT,Vehicles
Hydrogen storage,BT,Energy storage
Hydrologic measurements,BT,Hydrology
Hydrologic measurements,RT,Fluid flow measurement
Hydrologic measurements,RT,Geophysics
Hydrologic measurements,RT,Hydrological techniques
Hydrologic measurements,RT,Oceanographic techniques
Hydrologic measurements,RT,Water
Hydrological techniques,BT,Hydrology
Hydrological techniques,RT,Geoengineering
Hydrological techniques,RT,Geophysics
Hydrological techniques,RT,Geoscience
Hydrological techniques,RT,Hydrologic measurements
Hydrological techniques,NT,Fracking
Hydrology,BT,Fluid flow
Hydrology,RT,Water
Hydrology,RT,Wetlands
Hydrology,NT,Floods
Hydrology,NT,Hydrologic measurements
Hydrology,NT,Hydrological techniques
Hydrology,NT,Ocean waves
Hydromagnetics,USE,Magnetohydrodynamics
Hydrometers,BT,Density measurement
Hydrophones,USE,Sonar equipment
Hydropower,USE,Hydroelectric power generation
Hyper intelligent systems,USE,Hyper-intelligent systems
Hyper ledger,USE,Distributed ledger
Hyper-intelligence,UF,Super intelligence
Hyper-intelligence,UF,Superintelligence
Hyper-intelligence,BT,Human intelligence
Hyper-intelligent systems,UF,Hyper intelligent systems
Hyper-intelligent systems,UF,Hyperintelligent systems
Hyper-intelligent systems,BT,Intelligent systems
Hypercubes,BT,Multiprocessor interconnection
Hypercubes,RT,Computer networks
Hyperdermic needles,USE,Hypodermic needles
Hyperintelligent systems,USE,Hyper-intelligent systems
Hyperledger,USE,Distributed ledger
Hyperlinks,USE,Hypertext systems
Hypermedia,BT,Multimedia communication
Hypersonic vehicles,BT,Vehicles
Hypersonic vehicles,RT,Aerospace control
Hypersonic vehicles,RT,Missiles
Hypersonic vehicles,RT,Space vehicles
Hyperspectral imaging,BT,Hyperspectral sensors
Hyperspectral sensors,BT,Remote sensing
Hyperspectral sensors,RT,Geologic measurements
Hyperspectral sensors,RT,Military aircraft
Hyperspectral sensors,RT,Military communication
Hyperspectral sensors,RT,Military satellites
Hyperspectral sensors,RT,Mining industry
Hyperspectral sensors,RT,Submillimeter wave measurements
Hyperspectral sensors,RT,Wavelength measurement
Hyperspectral sensors,NT,Hyperspectral imaging
Hypertension,BT,Medical conditions
Hypertext systems,UF,Hyperlinks
Hypertext systems,BT,Computer interfaces
Hypertext systems,BT,Information retrieval
Hypertext systems,RT,Database systems
Hyperthermia,BT,Medical conditions
Hyperthermia,BT,Medical treatment
Hyperthermia,RT,Electromagnetic heating
Hypervisors,USE,Virtual machine monitors
Hypodermic needles,UF,Hyperdermic needles
Hypodermic needles,BT,Biomedical equipment
Hypothalamus,BT,Brain
Hypothalamus,RT,Central nervous system
Hyrdroelectric,USE,Hydroelectric power generation
Hysteresis,BT,Materials science and technology
Hysteresis,RT,Damping
Hysteresis,RT,Magnetic hysteresis
Hysteresis,RT,Magnetization processes
Hysteresis,RT,Spin valves
Hysteresis motors,BT,AC motors
Hysteresis motors,BT,Motors
Hysteresis motors,BT,Rotating machines
Hysteresis motors,BT,Synchronous machines
Hysteresis motors,BT,Synchronous motors
I/O programs,USE,Input-output programs
IC,USE,Integrated circuits
IC packaging,USE,Integrated circuit packaging
Ice,BT,Geoscience
Ice,RT,Meteorology
